dish_name,calories_(kcal),carbohydrates_(g),protein_(g),fats_(g),free_sugar_(g),fibre_(g),sodium_(mg),calcium_(mg),iron_(mg),vitamin_c_(mg),folate_(µg),calories_(kcal)_per_100g,carbohydrates_(g)_per_100g,protein_(g)_per_100g,fats_(g)_per_100g,free_sugar_(g)_per_100g,fibre_(g)_per_100g,sodium_(mg)_per_100g,calcium_(mg)_per_100g,iron_(mg)_per_100g,vitamin_c_(mg)_per_100g,folate_(µg)_per_100g,meal_category,veg_nonveg,region,dietary_restrictions,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,is_diabetic_friendly,is_keto_friendly,is_jain_friendly,is_low_calorie,is_high_protein,is_low_sodium,carb_category
Cranberry cookies,272.48,36.39,3.92,12.66,19.96,1.13,58.25,36.16,0.71,5.52,17.21,272.48,36.39,3.92,12.66,19.96,1.13,58.25,36.16,0.71,5.52,17.21,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,25.19,3.06,2.1,6.57,0.23,15.65,21.93,101.24,25.67,0.25,0.19,25.19,3.06,2.1,6.57,0.23,15.65,21.93,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61,0.36,3.7,86.38,31.17,1.04,4.85,2.09,278.58,7.61,1.55,27.61,0.36,3.7,86.38,31.17,1.04,4.85,2.09,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Very Low
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21,30.47,5.2,138.86,41.49,1.96,3.46,15.77,182.29,34.66,1.68,4.21,30.47,5.2,138.86,41.49,1.96,3.46,15.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; High-Sugar; Low-Sodium; High-Fiber; Low-Protein,1,1,1,1,0,0,1,0,0,1,Medium
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,0.29,2.24,161.31,16.62,0.69,19.87,23.14,59.83,1.73,1.58,5.59,0.29,2.24,161.31,16.62,0.69,19.87,23.14,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Small onion pickle ,16.86,2.76,1.65,0.64,2.99,1.09,249.48,31.95,1.2,19.37,16.9,16.86,2.76,1.65,0.64,2.99,1.09,249.48,31.95,1.2,19.37,16.9,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,0,1,0,0,Very Low
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,159.18,14.22,0.77,8.21,7.15,193.26,2.87,1.23,19.67,0.77,1.74,159.18,14.22,0.77,8.21,7.15,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Very Low
Pickled cabbage ,13.69,2.56,0.39,0.14,2.08,0.61,121.39,15.96,0.19,16.63,23.56,13.69,2.56,0.39,0.14,2.08,0.61,121.39,15.96,0.19,16.63,23.56,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; High-Sodium; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,75.64,26.85,0.93,1.47,20.46,166.02,1.49,12.32,12.46,0.75,0.67,75.64,26.85,0.93,1.47,20.46,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar; Low-Sodium,0,1,1,1,0,0,1,0,0,1,Very Low
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Sugar,0,1,1,1,0,0,1,0,0,1,Very Low
