dish_name,calories_(kcal),carbohydrates_(g),protein_(g),fats_(g),free_sugar_(g),fibre_(g),sodium_(mg),calcium_(mg),iron_(mg),vitamin_c_(mg),folate_(µg),calories_(kcal)_per_100g,carbohydrates_(g)_per_100g,protein_(g)_per_100g,fats_(g)_per_100g,free_sugar_(g)_per_100g,fibre_(g)_per_100g,sodium_(mg)_per_100g,calcium_(mg)_per_100g,iron_(mg)_per_100g,vitamin_c_(mg)_per_100g,folate_(µg)_per_100g,meal_category,veg_nonveg,region,dietary_restrictions,is_vegan,is_gluten_free,is_dairy_free,is_nut_free,is_diabetic_friendly,is_keto_friendly,is_jain_friendly,is_low_calorie,is_high_protein,is_low_sodium,carb_category
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,20.45,92.74,0.27,5.4,24.77,209.69,10.24,3.43,17.19,3.9,0.24,20.45,92.74,0.27,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Low
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,51.54,89.49,0.65,5.4,24.77,146.85,5.88,5.97,11.08,3.19,0.12,51.54,89.49,0.65,5.4,24.77,Main Course,Non-Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium,0,1,1,1,0,0,1,1,0,1,Very Low
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,20.94,94.1,0.22,5.4,24.77,137.56,7.31,3.39,10.51,3.86,0.47,20.94,94.1,0.22,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Very Low
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,22.16,109.03,0.44,5.4,24.77,158.58,8.29,3.98,12.17,4.22,0.13,22.16,109.03,0.44,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Very Low
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,49.04,19.55,0.41,5.4,24.77,42.12,4.4,0.57,2.45,2.94,1.36,49.04,19.55,0.41,5.4,24.77,Main Course,Vegetarian,North Indian,Contains-Gluten; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium; Low-Protein,1,0,0,1,0,0,1,1,0,1,Very Low
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,115.79,58.57,1.23,5.4,24.77,85.46,1.76,1.76,7.9,1.04,0.86,115.79,58.57,1.23,5.4,24.77,Main Course,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,0,1,1,0,0,1,1,0,1,Very Low
Pasta cheese sauce,149.26,9.0,4.33,10.84,4.22,0.14,255.95,152.68,0.25,5.4,24.77,149.26,9.0,4.33,10.84,4.22,0.14,255.95,152.68,0.25,5.4,24.77,Main Course,Vegetarian,Pan Indian,Contains-Gluten; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; High-Carb; Low-Calorie,0,0,0,1,0,0,1,1,0,1,Very Low
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,165.94,6.47,0.25,5.4,24.77,242.89,4.71,1.41,24.35,0.83,0.06,165.94,6.47,0.25,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,0,0,1,Very Low
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,301.07,167.17,0.25,5.4,24.77,79.95,7.95,5.04,3.36,7.12,0.1,301.07,167.17,0.25,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie,0,1,0,1,0,0,1,1,0,1,Very Low
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,97.2,16.9,1.02,5.4,24.77,422.1,44.72,6.11,23.98,3.18,1.58,97.2,16.9,1.02,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Calorie; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,132.28,19.43,0.83,5.4,24.77,222.37,16.2,5.55,14.96,1.5,0.56,132.28,19.43,0.83,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Low
Sponge cake ,253.77,44.63,9.18,4.74,26.33,0.69,64.61,30.22,1.47,5.4,24.77,253.77,44.63,9.18,4.74,26.33,0.69,64.61,30.22,1.47,5.4,24.77,Dessert,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Spinach soup in milk ,56.72,3.98,2.89,3.2,3.34,0.79,31.16,106.1,1.08,5.4,24.77,56.72,3.98,2.89,3.2,3.34,0.79,31.16,106.1,1.08,5.4,24.77,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,1,0,1,1,0,1,Very Low
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,170.68,18.1,0.63,5.4,24.77,55.21,7.6,2.22,1.55,1.61,3.01,170.68,18.1,0.63,5.4,24.77,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Mashed banana with milk,95.43,14.62,2.51,2.99,11.35,0.71,16.99,78.64,0.23,5.4,24.77,95.43,14.62,2.51,2.99,11.35,0.71,16.99,78.64,0.23,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Low-Calorie; Low-Sodium; Low-Protein,0,1,0,1,0,0,1,1,0,1,Low
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,5.46,1.09,325.07,140.9,1.61,5.4,24.77,173.32,26.72,6.01,4.65,5.46,1.09,325.07,140.9,1.61,5.4,24.77,Breakfast,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; Jain-Friendly,0,1,0,1,0,0,1,0,0,1,Low
Potato with curd,73.18,12.01,3.19,1.33,3.3,1.02,190.9,85.41,0.38,5.4,24.77,73.18,12.01,3.19,1.33,3.3,1.02,190.9,85.41,0.38,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Contains-Dairy; Nut-Free; Low-Sodium-Friendly; High-Carb; Low-Calorie; Low-Sodium,0,1,0,1,0,0,0,1,0,1,Low
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,12.23,2.37,24.63,99.18,1.98,5.4,24.77,140.66,23.77,5.11,2.79,12.23,2.37,24.63,99.18,1.98,5.4,24.77,Dessert,Vegetarian,Pan Indian,Not-Diabetic-Friendly; Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,0,1,1,1,0,1,1,0,1,Low
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,3.71,2.45,193.55,100.54,1.09,5.4,24.77,143.17,19.57,5.61,4.53,3.71,2.45,193.55,100.54,1.09,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium,1,1,1,1,0,0,1,1,0,1,Low
Moong dal mixture,158.84,33.93,4.62,1.0,24.68,1.9,29.6,70.53,1.25,5.4,24.77,158.84,33.93,4.62,1.0,24.68,1.9,29.6,70.53,1.25,5.4,24.77,Snack,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Sugar; Low-Sodium,1,1,1,1,1,0,1,0,0,1,Medium
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.79,3.74,224.95,123.04,2.17,5.4,24.77,167.45,22.35,7.56,5.52,3.79,3.74,224.95,123.04,2.17,5.4,24.77,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb,1,0,1,1,1,0,1,0,0,1,Low
Stewed apple,91.93,22.49,0.17,0.37,20.45,1.48,1.53,9.25,0.18,5.4,24.77,91.93,22.49,0.17,0.37,20.45,1.48,1.53,9.25,0.18,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,2.31,17.59,0.63,5.4,24.77,104.17,25.94,0.66,0.13,25.09,1.97,2.31,17.59,0.63,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Low
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0.0,216.89,16.4,0.38,5.4,24.77,123.16,32.34,0.14,0.03,28.61,0.0,216.89,16.4,0.38,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; High-Sugar; Low-Protein,1,1,1,1,0,0,1,1,0,1,Medium
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,174.79,13.0,0.31,5.4,24.77,34.33,7.23,0.81,0.27,5.69,1.79,174.79,13.0,0.31,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,244.99,8.91,0.22,5.4,24.77,20.62,3.68,0.75,0.25,2.32,1.56,244.99,8.91,0.22,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,88.84,110.72,0.31,5.4,24.77,111.04,8.69,3.46,7.05,4.63,0.56,88.84,110.72,0.31,5.4,24.77,Main Course,Vegetarian,Pan Indian,Contains-Gluten; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Calorie; Low-Sodium,1,0,1,1,0,0,1,1,0,1,Very Low
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,182.07,12.27,1.07,5.4,24.77,238.78,44.5,6.21,3.56,1.07,1.65,182.07,12.27,1.07,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; High-Carb; Low-Sugar; Low-Sodium,1,1,1,1,0,0,1,0,0,1,Medium
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,5.4,24.77,43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,5.4,24.77,Main Course,Vegetarian,Pan Indian,Diabetic-Friendly; Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sugar; Low-Sodium; Low-Protein,1,1,1,1,1,0,1,1,0,1,Very Low
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,31.33,20.45,0.63,5.4,24.77,137.52,6.17,1.26,11.98,3.51,2.12,31.33,20.45,0.63,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,0,1,0,1,Very Low
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,177.97,15.33,0.36,5.4,24.77,33.07,6.48,0.91,0.3,4.68,1.9,177.97,15.33,0.36,5.4,24.77,Main Course,Vegetarian,Pan Indian,Gluten-Free; Dairy-Free; Nut-Free; Low-Sodium-Friendly; Jain-Friendly; Vegan; Low-Calorie; Low-Sodium; Low-Protein,1,1,1,1,0,0,1,1,0,1,Very Low
